session_id,date,productSKU,category,channel,device,revenue
16600,2016-11-19,GGOE00146,Office,Direct,desktop,11.32
16795,2016-12-04,GGOE00228,Lifestyle,Direct,desktop,34.83
16835,2017-01-11,GGOE00097,Bags,Organic Search,desktop,13.34
16955,2016-11-19,GGOE00090,Drinkware,Direct,desktop,5.95
16998,2016-12-07,GGOE00351,Nest,Referral,desktop,79.78
17028,2016-12-28,GGOE00211,Lifestyle,Organic Search,tablet,59.38
17054,2016-11-18,GGOE00102,Bags,Organic Search,desktop,67.61
17088,2016-11-28,GGOE00289,Headgear,Direct,desktop,29.59
17129,2017-01-09,GGOE00163,Office,Direct,desktop,15.49
17254,2017-01-10,GGOE00154,Office,Organic Search,desktop,24.32
17257,2016-11-22,GGOE00095,Drinkware,Referral,mobile,23.78
17327,2016-12-23,GGOE00198,Lifestyle,Referral,desktop,74.55
17529,2017-01-16,GGOE00040,Apparel,Organic Search,tablet,24.84
17591,2016-11-26,GGOE00235,Electronics Accessories,Paid Search,desktop,12.02
17656,2016-11-25,GGOE00311,Headgear,Organic Search,desktop,18.3
17749,2017-01-23,GGOE00109,Bags,Social,desktop,94.18
17765,2016-12-17,GGOE00263,Electronics Accessories,Organic Search,desktop,6.41
17788,2016-11-05,GGOE00339,Nest,Direct,desktop,228.94
17830,2016-11-24,GGOE00196,Lifestyle,Organic Search,desktop,84.94
17838,2016-11-01,GGOE00325,Headgear,Organic Search,tablet,11.15
17896,2016-12-31,GGOE00210,Lifestyle,Referral,mobile,17.24
18085,2017-01-20,GGOE00262,Electronics Accessories,Referral,desktop,8.49
18199,2016-12-13,GGOE00006,Apparel,Referral,desktop,12.25
18328,2016-12-27,GGOE00005,Apparel,Organic Search,desktop,53.93
18390,2016-12-21,GGOE00156,Office,Referral,mobile,10.56
18421,2016-11-24,GGOE00227,Lifestyle,Referral,desktop,73.89
18432,2017-01-21,GGOE00294,Headgear,Organic Search,desktop,30.76
18558,2016-12-15,GGOE00180,Lifestyle,Direct,desktop,79.97
18644,2016-12-15,GGOE00119,Bags,Organic Search,desktop,11.57
18731,2016-12-21,GGOE00075,Drinkware,Organic Search,desktop,26.13
18740,2017-01-20,GGOE00235,Electronics Accessories,Direct,desktop,12.02
18757,2016-12-30,GGOE00237,Electronics Accessories,Referral,desktop,42.68
18867,2016-12-20,GGOE00099,Bags,Organic Search,desktop,116.39
18870,2016-11-30,GGOE00274,Electronics Accessories,Direct,desktop,7.07
18871,2017-01-23,GGOE00151,Office,Organic Search,desktop,17.24
18877,2016-11-23,GGOE00346,Nest,Referral,desktop,147.53
18929,2016-12-12,GGOE00358,Nest,Organic Search,desktop,180.73
19000,2016-12-01,GGOE00282,Electronics Accessories,Organic Search,desktop,34.81
19068,2016-11-10,GGOE00285,Headgear,Organic Search,desktop,28.2
19071,2016-11-08,GGOE00054,Drinkware,Paid Search,desktop,13.08
19090,2017-01-09,GGOE00123,Bags,Referral,desktop,89.84
19155,2016-11-21,GGOE00061,Drinkware,Referral,desktop,20.95
19194,2016-12-23,GGOE00110,Bags,Referral,desktop,110.01
19260,2016-12-17,GGOE00009,Apparel,Paid Search,tablet,34.46
19291,2016-12-31,GGOE00357,Nest,Direct,desktop,115.47
19302,2016-11-03,GGOE00016,Apparel,Direct,desktop,59.78
19405,2017-01-30,GGOE00225,Lifestyle,Organic Search,desktop,59.82
19528,2016-11-21,GGOE00340,Nest,Paid Search,desktop,162.75
19889,2016-12-04,GGOE00349,Nest,Paid Search,desktop,57.26
19897,2016-11-17,GGOE00046,Apparel,Direct,desktop,16.39
19995,2017-01-28,GGOE00113,Bags,Organic Search,desktop,10.57
20087,2016-11-17,GGOE00288,Headgear,Organic Search,desktop,12.98
20127,2016-11-19,GGOE00194,Lifestyle,Paid Search,mobile,9.73
20421,2016-11-06,GGOE00088,Drinkware,Direct,desktop,15.27
20433,2016-12-19,GGOE00056,Drinkware,Organic Search,desktop,25.41
20453,2016-12-05,GGOE00074,Drinkware,Direct,desktop,8.29
20456,2016-11-04,GGOE00161,Office,Referral,desktop,21.16
20495,2016-12-15,GGOE00274,Electronics Accessories,Direct,desktop,7.07
20579,2016-12-07,GGOE00287,Headgear,Paid Search,desktop,11.4
20641,2016-12-20,GGOE00154,Office,Organic Search,desktop,24.32
20664,2017-01-29,GGOE00206,Lifestyle,Referral,desktop,78.03
20666,2017-01-09,GGOE00142,Bags,Referral,desktop,106.6
20695,2016-11-12,GGOE00288,Headgear,Direct,desktop,12.98
20910,2017-01-23,GGOE00230,Lifestyle,Direct,desktop,79.12
20947,2016-11-01,GGOE00130,Bags,Direct,desktop,73.07
20951,2017-01-21,GGOE00196,Lifestyle,Referral,desktop,84.94
20986,2016-12-11,GGOE00153,Office,Organic Search,desktop,16.11
21015,2017-01-27,GGOE00134,Bags,Referral,desktop,58.89
21023,2016-11-05,GGOE00120,Bags,Organic Search,desktop,79.13
21029,2017-01-08,GGOE00016,Apparel,Organic Search,desktop,59.78
21035,2017-01-16,GGOE00062,Drinkware,Referral,desktop,21.91
21069,2016-12-07,GGOE00183,Lifestyle,Organic Search,desktop,11.83
21310,2016-12-14,GGOE00214,Lifestyle,Direct,desktop,78.75
21335,2016-12-29,GGOE00255,Electronics Accessories,Organic Search,desktop,34.61
21337,2016-12-26,GGOE00053,Apparel,Organic Search,desktop,30.61
21401,2017-01-02,GGOE00124,Bags,Organic Search,desktop,34.91
21406,2016-11-15,GGOE00183,Lifestyle,Organic Search,desktop,11.83
21555,2016-12-20,GGOE00048,Apparel,Affiliates,desktop,36.37
21580,2016-12-20,GGOE00282,Electronics Accessories,Direct,desktop,34.81
21786,2016-12-15,GGOE00211,Lifestyle,Direct,desktop,59.38
21988,2016-11-22,GGOE00235,Electronics Accessories,Organic Search,desktop,12.02
22072,2016-12-09,GGOE00160,Office,Direct,desktop,22.97
22099,2017-01-07,GGOE00246,Electronics Accessories,Organic Search,desktop,37.88
22305,2016-11-05,GGOE00322,Headgear,Referral,desktop,11.33
22375,2017-01-18,GGOE00312,Headgear,Organic Search,desktop,30.43
22401,2016-12-04,GGOE00306,Headgear,Direct,desktop,30.8
22483,2016-12-15,GGOE00295,Headgear,Social,desktop,28.98
22485,2016-12-27,GGOE00026,Apparel,Direct,desktop,34.38
22550,2017-01-15,GGOE00104,Bags,Direct,desktop,47.86
22660,2016-12-02,GGOE00219,Lifestyle,Organic Search,desktop,24.18
22672,2017-01-05,GGOE00265,Electronics Accessories,Direct,desktop,14.31
22714,2017-01-07,GGOE00357,Nest,Organic Search,desktop,115.47
22813,2016-11-28,GGOE00147,Office,Organic Search,desktop,13.47
23101,2017-01-19,GGOE00148,Office,Social,desktop,23.82
23104,2017-01-11,GGOE00112,Bags,Organic Search,desktop,112.68
23158,2016-12-07,GGOE00166,Office,Organic Search,desktop,16.82
23466,2016-11-07,GGOE00111,Bags,Organic Search,desktop,26.62
23662,2016-12-20,GGOE00078,Drinkware,Organic Search,desktop,19.24
23687,2017-01-19,GGOE00162,Office,Organic Search,desktop,3.7
23739,2016-12-01,GGOE00176,Office,Organic Search,desktop,20.57
23841,2016-12-15,GGOE00157,Office,Paid Search,desktop,5.87
23870,2017-01-13,GGOE00040,Apparel,Direct,desktop,24.84
23971,2016-12-07,GGOE00205,Lifestyle,Organic Search,desktop,86.73
24028,2016-12-03,GGOE00289,Headgear,Paid Search,desktop,29.59
24052,2016-11-07,GGOE00001,Apparel,Organic Search,desktop,55.07
24242,2016-12-04,GGOE00050,Apparel,Organic Search,desktop,29.34
24309,2017-01-23,GGOE00313,Headgear,Organic Search,desktop,32.83
24383,2016-12-23,GGOE00159,Office,Referral,desktop,6.11
24496,2016-12-07,GGOE00019,Apparel,Organic Search,desktop,59.47
24519,2016-11-21,GGOE00058,Drinkware,Direct,desktop,29.47
24584,2016-12-27,GGOE00213,Lifestyle,Direct,desktop,33.73
24647,2017-01-12,GGOE00164,Office,Organic Search,desktop,12.5
24690,2016-12-14,GGOE00026,Apparel,Display,desktop,34.38
24785,2016-12-25,GGOE00085,Drinkware,Organic Search,desktop,21.04
24808,2016-11-23,GGOE00312,Headgear,Organic Search,desktop,30.43
24809,2016-11-23,GGOE00140,Bags,Referral,desktop,73.87
24871,2016-12-27,GGOE00141,Bags,Organic Search,desktop,56.93
24977,2016-11-29,GGOE00182,Lifestyle,Paid Search,mobile,83.08
24989,2016-11-23,GGOE00057,Drinkware,Direct,desktop,14.49
24992,2016-12-14,GGOE00195,Lifestyle,Organic Search,tablet,33.47
25126,2016-12-04,GGOE00022,Apparel,Direct,desktop,41.4
25382,2016-12-23,GGOE00021,Apparel,Direct,desktop,19.69
25404,2017-01-06,GGOE00158,Office,Referral,desktop,2.22
25478,2016-12-10,GGOE00145,Office,Direct,tablet,2.65
25840,2016-12-03,GGOE00242,Electronics Accessories,Organic Search,desktop,7.25
25989,2016-11-30,GGOE00147,Office,Organic Search,desktop,13.47
26030,2017-01-28,GGOE00143,Office,Organic Search,desktop,10.88
26418,2016-11-28,GGOE00164,Office,Organic Search,desktop,12.5
26427,2016-12-03,GGOE00176,Office,Organic Search,desktop,20.57
26469,2016-12-13,GGOE00253,Electronics Accessories,Referral,desktop,22.21
26474,2016-11-02,GGOE00179,Lifestyle,Organic Search,desktop,73.77
26558,2016-12-27,GGOE00300,Headgear,Paid Search,desktop,28.46
26670,2016-12-05,GGOE00199,Lifestyle,Paid Search,desktop,61.96
26716,2016-11-16,GGOE00247,Electronics Accessories,Referral,desktop,18.83
26723,2017-01-23,GGOE00173,Office,Organic Search,tablet,2.48
26747,2017-01-14,GGOE00227,Lifestyle,Referral,desktop,73.89
27335,2016-11-09,GGOE00164,Office,Referral,desktop,12.5
27413,2016-11-12,GGOE00275,Electronics Accessories,Organic Search,desktop,33.55
27559,2016-11-12,GGOE00084,Drinkware,Social,tablet,27.1
27565,2016-12-11,GGOE00060,Drinkware,Organic Search,desktop,20.13
27583,2016-12-22,GGOE00279,Electronics Accessories,Direct,desktop,18.57
27624,2016-11-24,GGOE00295,Headgear,Organic Search,desktop,28.98
27694,2016-12-19,GGOE00045,Apparel,Referral,desktop,47.61
27760,2017-01-27,GGOE00184,Lifestyle,Organic Search,desktop,10.48
27901,2017-01-17,GGOE00105,Bags,Organic Search,desktop,74.93
27949,2016-11-03,GGOE00344,Nest,Organic Search,desktop,278.08
27991,2016-12-15,GGOE00075,Drinkware,Organic Search,desktop,26.13
28029,2016-11-07,GGOE00250,Electronics Accessories,Direct,desktop,12.03
28168,2016-11-27,GGOE00070,Drinkware,Organic Search,desktop,21.79
28397,2016-12-31,GGOE00032,Apparel,Referral,desktop,12.57
28432,2017-01-07,GGOE00220,Lifestyle,Referral,desktop,55.04
28526,2016-11-03,GGOE00199,Lifestyle,Direct,desktop,61.96
28618,2016-11-07,GGOE00227,Lifestyle,Referral,desktop,73.89
28712,2016-11-15,GGOE00333,Nest,Direct,desktop,241.28
28747,2017-01-07,GGOE00028,Apparel,Direct,desktop,42.2
28748,2016-12-29,GGOE00186,Lifestyle,Paid Search,desktop,28.73
28775,2016-11-10,GGOE00164,Office,Direct,desktop,12.5
28873,2016-12-12,GGOE00348,Nest,Organic Search,desktop,80.23
28917,2017-01-03,GGOE00353,Nest,Organic Search,desktop,264.12
28937,2016-11-09,GGOE00112,Bags,Organic Search,desktop,112.68
29047,2017-01-30,GGOE00211,Lifestyle,Organic Search,desktop,59.38
29088,2016-12-16,GGOE00187,Lifestyle,Referral,desktop,28.38
29147,2016-12-03,GGOE00160,Office,Direct,desktop,22.97
29176,2016-12-28,GGOE00052,Apparel,Organic Search,desktop,14.84
29266,2016-11-29,GGOE00215,Lifestyle,Organic Search,desktop,73.36
29295,2017-01-04,GGOE00272,Electronics Accessories,Organic Search,desktop,18.77
29339,2017-01-02,GGOE00054,Drinkware,Social,desktop,13.08
29433,2017-01-19,GGOE00098,Bags,Organic Search,desktop,23.52
29564,2016-11-16,GGOE00108,Bags,Direct,desktop,67.1
29571,2017-01-11,GGOE00178,Office,Referral,desktop,3.72
29650,2016-11-24,GGOE00344,Nest,Organic Search,desktop,278.08
29829,2016-11-04,GGOE00186,Lifestyle,Organic Search,desktop,28.73
29991,2016-12-11,GGOE00282,Electronics Accessories,Direct,mobile,34.81
30084,2016-12-16,GGOE00100,Bags,Organic Search,desktop,82.35
30152,2016-11-09,GGOE00262,Electronics Accessories,Referral,desktop,8.49
30153,2017-01-12,GGOE00313,Headgear,Referral,desktop,32.83
