session_id,hitNumber,hit_type,eCommerceAction_action_type,productSKU,v2ProductCategory,productPrice
83,1,EVENT,2,GGOE00060,Drinkware,20.13
84,1,EVENT,2,GGOE00136,Bags,66.71
87,1,EVENT,2,GGOE00350,Nest,174.83
92,1,EVENT,2,GGOE00180,Lifestyle,79.97
93,1,EVENT,2,GGOE00049,Apparel,53.82
94,1,EVENT,2,GGOE00126,Bags,49.94
95,1,EVENT,2,GGOE00242,Electronics Accessories,7.25
98,1,EVENT,2,GGOE00120,Bags,79.13
98,2,EVENT,3,GGOE00120,Bags,79.13
98,3,EVENT,5,GGOE00120,Bags,79.13
98,4,EVENT,6,GGOE00120,Bags,79.13
99,1,EVENT,2,GGOE00334,Nest,65.9
103,1,EVENT,2,GGOE00327,Headgear,23.52
103,2,EVENT,3,GGOE00327,Headgear,23.52
105,1,EVENT,2,GGOE00334,Nest,65.9
106,1,EVENT,2,GGOE00043,Apparel,52.66
114,1,EVENT,2,GGOE00243,Electronics Accessories,18.98
115,1,EVENT,2,GGOE00245,Electronics Accessories,30.82
117,1,EVENT,2,GGOE00152,Office,18.21
118,1,EVENT,2,GGOE00120,Bags,79.13
119,1,EVENT,2,GGOE00135,Bags,117.84
121,1,EVENT,2,GGOE00280,Electronics Accessories,5.7
124,1,EVENT,2,GGOE00295,Headgear,28.98
130,1,EVENT,2,GGOE00150,Office,20.34
132,1,EVENT,2,GGOE00136,Bags,66.71
133,1,EVENT,2,GGOE00255,Electronics Accessories,34.61
134,1,EVENT,2,GGOE00063,Drinkware,8.77
138,1,EVENT,2,GGOE00154,Office,24.32
139,1,EVENT,2,GGOE00353,Nest,264.12
139,2,EVENT,3,GGOE00353,Nest,264.12
140,1,EVENT,2,GGOE00194,Lifestyle,9.73
141,1,EVENT,2,GGOE00177,Office,18.52
142,1,EVENT,2,GGOE00222,Lifestyle,57.97
144,1,EVENT,2,GGOE00006,Apparel,12.25
146,1,EVENT,2,GGOE00200,Lifestyle,58.08
148,1,EVENT,2,GGOE00288,Headgear,12.98
151,1,EVENT,2,GGOE00128,Bags,48.07
152,1,EVENT,2,GGOE00313,Headgear,32.83
153,1,EVENT,2,GGOE00344,Nest,278.08
154,1,EVENT,2,GGOE00236,Electronics Accessories,26.68
154,2,EVENT,3,GGOE00236,Electronics Accessories,26.68
154,3,EVENT,5,GGOE00236,Electronics Accessories,26.68
157,1,EVENT,2,GGOE00210,Lifestyle,17.24
159,1,EVENT,2,GGOE00087,Drinkware,14.41
161,1,EVENT,2,GGOE00042,Apparel,36.47
163,1,EVENT,2,GGOE00047,Apparel,37.97
163,2,EVENT,3,GGOE00047,Apparel,37.97
163,3,EVENT,5,GGOE00047,Apparel,37.97
169,1,EVENT,2,GGOE00038,Apparel,51.84
170,1,EVENT,2,GGOE00247,Electronics Accessories,18.83
171,1,EVENT,2,GGOE00192,Lifestyle,21.61
174,1,EVENT,2,GGOE00249,Electronics Accessories,25.66
177,1,EVENT,2,GGOE00003,Apparel,22.81
177,2,EVENT,3,GGOE00003,Apparel,22.81
178,1,EVENT,2,GGOE00253,Electronics Accessories,22.21
179,1,EVENT,2,GGOE00288,Headgear,12.98
180,1,EVENT,2,GGOE00111,Bags,26.62
184,1,EVENT,2,GGOE00078,Drinkware,19.24
186,1,EVENT,2,GGOE00050,Apparel,29.34
188,1,EVENT,2,GGOE00001,Apparel,55.07
189,1,EVENT,2,GGOE00149,Office,7.02
192,1,EVENT,2,GGOE00016,Apparel,59.78
194,1,EVENT,2,GGOE00107,Bags,49.1
194,2,EVENT,3,GGOE00107,Bags,49.1
194,3,EVENT,5,GGOE00107,Bags,49.1
195,1,EVENT,2,GGOE00012,Apparel,24.23
195,2,EVENT,3,GGOE00012,Apparel,24.23
202,1,EVENT,2,GGOE00210,Lifestyle,17.24
204,1,EVENT,2,GGOE00174,Office,10.88
207,1,EVENT,2,GGOE00073,Drinkware,21.56
212,1,EVENT,2,GGOE00266,Electronics Accessories,15.87
213,1,EVENT,2,GGOE00033,Apparel,21.24
214,1,EVENT,2,GGOE00180,Lifestyle,79.97
216,1,EVENT,2,GGOE00248,Electronics Accessories,18.61
217,1,EVENT,2,GGOE00240,Electronics Accessories,22.17
219,1,EVENT,2,GGOE00181,Lifestyle,50.91
223,1,EVENT,2,GGOE00139,Bags,91.7
224,1,EVENT,2,GGOE00114,Bags,92.83
224,2,EVENT,3,GGOE00114,Bags,92.83
228,1,EVENT,2,GGOE00039,Apparel,19.41
228,2,EVENT,3,GGOE00039,Apparel,19.41
228,3,EVENT,5,GGOE00039,Apparel,19.41
228,4,EVENT,6,GGOE00039,Apparel,19.41
229,1,EVENT,2,GGOE00347,Nest,105.79
236,1,EVENT,2,GGOE00355,Nest,94.93
240,1,EVENT,2,GGOE00080,Drinkware,9.81
240,2,EVENT,3,GGOE00080,Drinkware,9.81
242,1,EVENT,2,GGOE00103,Bags,106.01
245,1,EVENT,2,GGOE00215,Lifestyle,73.36
246,1,EVENT,2,GGOE00181,Lifestyle,50.91
247,1,EVENT,2,GGOE00089,Drinkware,10.99
249,1,EVENT,2,GGOE00132,Bags,39.87
251,1,EVENT,2,GGOE00307,Headgear,22.64
252,1,EVENT,2,GGOE00114,Bags,92.83
254,1,EVENT,2,GGOE00122,Bags,66.43
255,1,EVENT,2,GGOE00080,Drinkware,9.81
256,1,EVENT,2,GGOE00117,Bags,56.08
256,2,EVENT,3,GGOE00117,Bags,56.08
256,3,EVENT,5,GGOE00117,Bags,56.08
256,4,EVENT,6,GGOE00117,Bags,56.08
257,1,EVENT,2,GGOE00289,Headgear,29.59
258,1,EVENT,2,GGOE00063,Drinkware,8.77
259,1,EVENT,2,GGOE00107,Bags,49.1
260,1,EVENT,2,GGOE00284,Headgear,22.48
261,1,EVENT,2,GGOE00104,Bags,47.86
264,1,EVENT,2,GGOE00005,Apparel,53.93
265,1,EVENT,2,GGOE00246,Electronics Accessories,37.88
268,1,EVENT,2,GGOE00049,Apparel,53.82
269,1,EVENT,2,GGOE00119,Bags,11.57
270,1,EVENT,2,GGOE00259,Electronics Accessories,35.05
271,1,EVENT,2,GGOE00172,Office,5.41
274,1,EVENT,2,GGOE00291,Headgear,27.47
276,1,EVENT,2,GGOE00111,Bags,26.62
278,1,EVENT,2,GGOE00175,Office,19.34
279,1,EVENT,2,GGOE00103,Bags,106.01
283,1,EVENT,2,GGOE00241,Electronics Accessories,30.6
288,1,EVENT,2,GGOE00004,Apparel,26.41
296,1,EVENT,2,GGOE00195,Lifestyle,33.47
298,1,EVENT,2,GGOE00355,Nest,94.93
301,1,EVENT,2,GGOE00228,Lifestyle,34.83
304,1,EVENT,2,GGOE00226,Lifestyle,75.56
305,1,EVENT,2,GGOE00179,Lifestyle,73.77
308,1,EVENT,2,GGOE00352,Nest,93.08
309,1,EVENT,2,GGOE00219,Lifestyle,24.18
310,1,EVENT,2,GGOE00014,Apparel,36.22
312,1,EVENT,2,GGOE00290,Headgear,25.4
314,1,EVENT,2,GGOE00093,Drinkware,18.69
315,1,EVENT,2,GGOE00333,Nest,241.28
316,1,EVENT,2,GGOE00106,Bags,85.21
319,1,EVENT,2,GGOE00079,Drinkware,8.64
319,2,EVENT,3,GGOE00079,Drinkware,8.64
321,1,EVENT,2,GGOE00084,Drinkware,27.1
323,1,EVENT,2,GGOE00007,Apparel,51.42
325,1,EVENT,2,GGOE00205,Lifestyle,86.73
326,1,EVENT,2,GGOE00111,Bags,26.62
327,1,EVENT,2,GGOE00328,Headgear,20.05
327,2,EVENT,3,GGOE00328,Headgear,20.05
329,1,EVENT,2,GGOE00269,Electronics Accessories,10.86
330,1,EVENT,2,GGOE00292,Headgear,34.91
331,1,EVENT,2,GGOE00102,Bags,67.61
333,1,EVENT,2,GGOE00350,Nest,174.83
334,1,EVENT,2,GGOE00245,Electronics Accessories,30.82
336,1,EVENT,2,GGOE00303,Headgear,18.21
337,1,EVENT,2,GGOE00178,Office,3.72
341,1,EVENT,2,GGOE00014,Apparel,36.22
341,2,EVENT,3,GGOE00014,Apparel,36.22
341,3,EVENT,5,GGOE00014,Apparel,36.22
342,1,EVENT,2,GGOE00029,Apparel,36.68
343,1,EVENT,2,GGOE00170,Office,16.07
343,2,EVENT,3,GGOE00170,Office,16.07
343,3,EVENT,5,GGOE00170,Office,16.07
343,4,EVENT,6,GGOE00170,Office,16.07
345,1,EVENT,2,GGOE00013,Apparel,33.36
350,1,EVENT,2,GGOE00354,Nest,170.06
354,1,EVENT,2,GGOE00034,Apparel,45.22
356,1,EVENT,2,GGOE00322,Headgear,11.33
357,1,EVENT,2,GGOE00269,Electronics Accessories,10.86
357,2,EVENT,3,GGOE00269,Electronics Accessories,10.86
357,3,EVENT,5,GGOE00269,Electronics Accessories,10.86
360,1,EVENT,2,GGOE00322,Headgear,11.33
363,1,EVENT,2,GGOE00350,Nest,174.83
367,1,EVENT,2,GGOE00345,Nest,110.64
367,2,EVENT,3,GGOE00345,Nest,110.64
367,3,EVENT,5,GGOE00345,Nest,110.64
367,4,EVENT,6,GGOE00345,Nest,110.64
368,1,EVENT,2,GGOE00289,Headgear,29.59
369,1,EVENT,2,GGOE00043,Apparel,52.66
370,1,EVENT,2,GGOE00101,Bags,57.1
371,1,EVENT,2,GGOE00334,Nest,65.9
372,1,EVENT,2,GGOE00289,Headgear,29.59
373,1,EVENT,2,GGOE00003,Apparel,22.81
375,1,EVENT,2,GGOE00290,Headgear,25.4
377,1,EVENT,2,GGOE00298,Headgear,12.98
379,1,EVENT,2,GGOE00183,Lifestyle,11.83
384,1,EVENT,2,GGOE00071,Drinkware,12.51
385,1,EVENT,2,GGOE00277,Electronics Accessories,37.68
387,1,EVENT,2,GGOE00340,Nest,162.75
389,1,EVENT,2,GGOE00147,Office,13.47
391,1,EVENT,2,GGOE00289,Headgear,29.59
392,1,EVENT,2,GGOE00004,Apparel,26.41
400,1,EVENT,2,GGOE00143,Office,10.88
401,1,EVENT,2,GGOE00320,Headgear,30.28
404,1,EVENT,2,GGOE00230,Lifestyle,79.12
405,1,EVENT,2,GGOE00007,Apparel,51.42
407,1,EVENT,2,GGOE00344,Nest,278.08
409,1,EVENT,2,GGOE00165,Office,15.27
413,1,EVENT,2,GGOE00271,Electronics Accessories,40.12
413,2,EVENT,3,GGOE00271,Electronics Accessories,40.12
413,3,EVENT,5,GGOE00271,Electronics Accessories,40.12
416,1,EVENT,2,GGOE00203,Lifestyle,11.25
417,1,EVENT,2,GGOE00277,Electronics Accessories,37.68
423,1,EVENT,2,GGOE00086,Drinkware,19.24
425,1,EVENT,2,GGOE00308,Headgear,18.46
426,1,EVENT,2,GGOE00268,Electronics Accessories,29.04
427,1,EVENT,2,GGOE00214,Lifestyle,78.75
428,1,EVENT,2,GGOE00275,Electronics Accessories,33.55
429,1,EVENT,2,GGOE00007,Apparel,51.42
433,1,EVENT,2,GGOE00117,Bags,56.08
435,1,EVENT,2,GGOE00298,Headgear,12.98
437,1,EVENT,2,GGOE00239,Electronics Accessories,13.62
437,2,EVENT,3,GGOE00239,Electronics Accessories,13.62
437,3,EVENT,5,GGOE00239,Electronics Accessories,13.62
438,1,EVENT,2,GGOE00283,Headgear,15.19
439,1,EVENT,2,GGOE00304,Headgear,19.33
440,1,EVENT,2,GGOE00015,Apparel,38.57
441,1,EVENT,2,GGOE00279,Electronics Accessories,18.57
444,1,EVENT,2,GGOE00336,Nest,57.14
445,1,EVENT,2,GGOE00078,Drinkware,19.24
447,1,EVENT,2,GGOE00248,Electronics Accessories,18.61
451,1,EVENT,2,GGOE00218,Lifestyle,80.37
452,1,EVENT,2,GGOE00123,Bags,89.84
456,1,EVENT,2,GGOE00074,Drinkware,8.29
458,1,EVENT,2,GGOE00288,Headgear,12.98
460,1,EVENT,2,GGOE00137,Bags,67.33
461,1,EVENT,2,GGOE00264,Electronics Accessories,41.07
464,1,EVENT,2,GGOE00349,Nest,57.26
465,1,EVENT,2,GGOE00069,Drinkware,10.38
467,1,EVENT,2,GGOE00292,Headgear,34.91
469,1,EVENT,2,GGOE00063,Drinkware,8.77
470,1,EVENT,2,GGOE00042,Apparel,36.47
471,1,EVENT,2,GGOE00244,Electronics Accessories,8.62
474,1,EVENT,2,GGOE00097,Bags,13.34
474,2,EVENT,3,GGOE00097,Bags,13.34
474,3,EVENT,5,GGOE00097,Bags,13.34
474,4,EVENT,6,GGOE00097,Bags,13.34
476,1,EVENT,2,GGOE00353,Nest,264.12
476,2,EVENT,3,GGOE00353,Nest,264.12
477,1,EVENT,2,GGOE00008,Apparel,50.26
478,1,EVENT,2,GGOE00100,Bags,82.35
478,2,EVENT,3,GGOE00100,Bags,82.35
480,1,EVENT,2,GGOE00218,Lifestyle,80.37
481,1,EVENT,2,GGOE00052,Apparel,14.84
481,2,EVENT,3,GGOE00052,Apparel,14.84
482,1,EVENT,2,GGOE00295,Headgear,28.98
485,1,EVENT,2,GGOE00080,Drinkware,9.81
486,1,EVENT,2,GGOE00195,Lifestyle,33.47
488,1,EVENT,2,GGOE00220,Lifestyle,55.04
489,1,EVENT,2,GGOE00268,Electronics Accessories,29.04
491,1,EVENT,2,GGOE00256,Electronics Accessories,27.32
492,1,EVENT,2,GGOE00277,Electronics Accessories,37.68
495,1,EVENT,2,GGOE00222,Lifestyle,57.97
496,1,EVENT,2,GGOE00276,Electronics Accessories,35.61
496,2,EVENT,3,GGOE00276,Electronics Accessories,35.61
496,3,EVENT,5,GGOE00276,Electronics Accessories,35.61
496,4,EVENT,6,GGOE00276,Electronics Accessories,35.61
497,1,EVENT,2,GGOE00319,Headgear,27.24
497,2,EVENT,3,GGOE00319,Headgear,27.24
497,3,EVENT,5,GGOE00319,Headgear,27.24
498,1,EVENT,2,GGOE00034,Apparel,45.22
499,1,EVENT,2,GGOE00143,Office,10.88
499,2,EVENT,3,GGOE00143,Office,10.88
499,3,EVENT,5,GGOE00143,Office,10.88
500,1,EVENT,2,GGOE00168,Office,24.07
501,1,EVENT,2,GGOE00187,Lifestyle,28.38
502,1,EVENT,2,GGOE00059,Drinkware,19.75
503,1,EVENT,2,GGOE00185,Lifestyle,9.66
505,1,EVENT,2,GGOE00152,Office,18.21
506,1,EVENT,2,GGOE00082,Drinkware,18.81
506,2,EVENT,3,GGOE00082,Drinkware,18.81
506,3,EVENT,5,GGOE00082,Drinkware,18.81
507,1,EVENT,2,GGOE00161,Office,21.16
507,2,EVENT,3,GGOE00161,Office,21.16
507,3,EVENT,5,GGOE00161,Office,21.16
507,4,EVENT,6,GGOE00161,Office,21.16
511,1,EVENT,2,GGOE00096,Drinkware,5.63
512,1,EVENT,2,GGOE00193,Lifestyle,63.59
513,1,EVENT,2,GGOE00356,Nest,216.47
514,1,EVENT,2,GGOE00265,Electronics Accessories,14.31
516,1,EVENT,2,GGOE00358,Nest,180.73
518,1,EVENT,2,GGOE00238,Electronics Accessories,18.93
519,1,EVENT,2,GGOE00214,Lifestyle,78.75
524,1,EVENT,2,GGOE00300,Headgear,28.46
525,1,EVENT,2,GGOE00137,Bags,67.33
527,1,EVENT,2,GGOE00071,Drinkware,12.51
528,1,EVENT,2,GGOE00012,Apparel,24.23
530,1,EVENT,2,GGOE00120,Bags,79.13
531,1,EVENT,2,GGOE00340,Nest,162.75
532,1,EVENT,2,GGOE00050,Apparel,29.34
534,1,EVENT,2,GGOE00168,Office,24.07
534,2,EVENT,3,GGOE00168,Office,24.07
534,3,EVENT,5,GGOE00168,Office,24.07
534,4,EVENT,6,GGOE00168,Office,24.07
535,1,EVENT,2,GGOE00340,Nest,162.75
537,1,EVENT,2,GGOE00332,Nest,103.3
539,1,EVENT,2,GGOE00181,Lifestyle,50.91
539,2,EVENT,3,GGOE00181,Lifestyle,50.91
539,3,EVENT,5,GGOE00181,Lifestyle,50.91
544,1,EVENT,2,GGOE00151,Office,17.24
547,1,EVENT,2,GGOE00287,Headgear,11.4
549,1,EVENT,2,GGOE00244,Electronics Accessories,8.62
550,1,EVENT,2,GGOE00301,Headgear,27.47
552,1,EVENT,2,GGOE00085,Drinkware,21.04
556,1,EVENT,2,GGOE00319,Headgear,27.24
559,1,EVENT,2,GGOE00138,Bags,108.62
561,1,EVENT,2,GGOE00299,Headgear,28.51
561,2,EVENT,3,GGOE00299,Headgear,28.51
561,3,EVENT,5,GGOE00299,Headgear,28.51
561,4,EVENT,6,GGOE00299,Headgear,28.51
562,1,EVENT,2,GGOE00183,Lifestyle,11.83
563,1,EVENT,2,GGOE00225,Lifestyle,59.82
569,1,EVENT,2,GGOE00253,Electronics Accessories,22.21
570,1,EVENT,2,GGOE00271,Electronics Accessories,40.12
571,1,EVENT,2,GGOE00223,Lifestyle,15.89
576,1,EVENT,2,GGOE00279,Electronics Accessories,18.57
577,1,EVENT,2,GGOE00200,Lifestyle,58.08
581,1,EVENT,2,GGOE00216,Lifestyle,18.59
582,1,EVENT,2,GGOE00101,Bags,57.1
584,1,EVENT,2,GGOE00278,Electronics Accessories,31.32
585,1,EVENT,2,GGOE00236,Electronics Accessories,26.68
588,1,EVENT,2,GGOE00358,Nest,180.73
590,1,EVENT,2,GGOE00014,Apparel,36.22
591,1,EVENT,2,GGOE00218,Lifestyle,80.37
592,1,EVENT,2,GGOE00173,Office,2.48
595,1,EVENT,2,GGOE00171,Office,16.25
598,1,EVENT,2,GGOE00322,Headgear,11.33
601,1,EVENT,2,GGOE00352,Nest,93.08
601,2,EVENT,3,GGOE00352,Nest,93.08
602,1,EVENT,2,GGOE00109,Bags,94.18
605,1,EVENT,2,GGOE00298,Headgear,12.98
609,1,EVENT,2,GGOE00223,Lifestyle,15.89
610,1,EVENT,2,GGOE00251,Electronics Accessories,13.39
611,1,EVENT,2,GGOE00072,Drinkware,26.85
612,1,EVENT,2,GGOE00333,Nest,241.28
614,1,EVENT,2,GGOE00332,Nest,103.3
615,1,EVENT,2,GGOE00342,Nest,297.84
616,1,EVENT,2,GGOE00121,Bags,97.23
620,1,EVENT,2,GGOE00072,Drinkware,26.85
622,1,EVENT,2,GGOE00273,Electronics Accessories,32.86
623,1,EVENT,2,GGOE00146,Office,11.32
627,1,EVENT,2,GGOE00113,Bags,10.57
629,1,EVENT,2,GGOE00029,Apparel,36.68
632,1,EVENT,2,GGOE00361,Nest,206.13
632,2,EVENT,3,GGOE00361,Nest,206.13
632,3,EVENT,5,GGOE00361,Nest,206.13
637,1,EVENT,2,GGOE00125,Bags,31.84
643,1,EVENT,2,GGOE00088,Drinkware,15.27
646,1,EVENT,2,GGOE00044,Apparel,42.71
648,1,EVENT,2,GGOE00123,Bags,89.84
650,1,EVENT,2,GGOE00272,Electronics Accessories,18.77
654,1,EVENT,2,GGOE00235,Electronics Accessories,12.02
655,1,EVENT,2,GGOE00168,Office,24.07
656,1,EVENT,2,GGOE00211,Lifestyle,59.38
660,1,EVENT,2,GGOE00228,Lifestyle,34.83
661,1,EVENT,2,GGOE00186,Lifestyle,28.73
664,1,EVENT,2,GGOE00157,Office,5.87
665,1,EVENT,2,GGOE00041,Apparel,54.26
668,1,EVENT,2,GGOE00193,Lifestyle,63.59
668,2,EVENT,3,GGOE00193,Lifestyle,63.59
670,1,EVENT,2,GGOE00038,Apparel,51.84
671,1,EVENT,2,GGOE00335,Nest,167.35
672,1,EVENT,2,GGOE00349,Nest,57.26
672,2,EVENT,3,GGOE00349,Nest,57.26
672,3,EVENT,5,GGOE00349,Nest,57.26
672,4,EVENT,6,GGOE00349,Nest,57.26
674,1,EVENT,2,GGOE00127,Bags,29.73
679,1,EVENT,2,GGOE00097,Bags,13.34
680,1,EVENT,2,GGOE00310,Headgear,27.48
681,1,EVENT,2,GGOE00265,Electronics Accessories,14.31
684,1,EVENT,2,GGOE00157,Office,5.87
684,2,EVENT,3,GGOE00157,Office,5.87
684,3,EVENT,5,GGOE00157,Office,5.87
687,1,EVENT,2,GGOE00269,Electronics Accessories,10.86
692,1,EVENT,2,GGOE00054,Drinkware,13.08
693,1,EVENT,2,GGOE00168,Office,24.07
694,1,EVENT,2,GGOE00180,Lifestyle,79.97
695,1,EVENT,2,GGOE00028,Apparel,42.2
699,1,EVENT,2,GGOE00145,Office,2.65
700,1,EVENT,2,GGOE00187,Lifestyle,28.38
701,1,EVENT,2,GGOE00359,Nest,119.74
706,1,EVENT,2,GGOE00129,Bags,114.29
708,1,EVENT,2,GGOE00056,Drinkware,25.41
709,1,EVENT,2,GGOE00037,Apparel,12.18
710,1,EVENT,2,GGOE00140,Bags,73.87
712,1,EVENT,2,GGOE00290,Headgear,25.4
713,1,EVENT,2,GGOE00079,Drinkware,8.64
714,1,EVENT,2,GGOE00103,Bags,106.01
717,1,EVENT,2,GGOE00352,Nest,93.08
718,1,EVENT,2,GGOE00020,Apparel,22.33
719,1,EVENT,2,GGOE00002,Apparel,49.23
719,2,EVENT,3,GGOE00002,Apparel,49.23
719,3,EVENT,5,GGOE00002,Apparel,49.23
720,1,EVENT,2,GGOE00143,Office,10.88
721,1,EVENT,2,GGOE00190,Lifestyle,11.2
722,1,EVENT,2,GGOE00314,Headgear,18.46
722,2,EVENT,3,GGOE00314,Headgear,18.46
722,3,EVENT,5,GGOE00314,Headgear,18.46
722,4,EVENT,6,GGOE00314,Headgear,18.46
723,1,EVENT,2,GGOE00205,Lifestyle,86.73
727,1,EVENT,2,GGOE00142,Bags,106.6
730,1,EVENT,2,GGOE00230,Lifestyle,79.12
731,1,EVENT,2,GGOE00118,Bags,99.68
732,1,EVENT,2,GGOE00214,Lifestyle,78.75
733,1,EVENT,2,GGOE00025,Apparel,36.71
734,1,EVENT,2,GGOE00008,Apparel,50.26
735,1,EVENT,2,GGOE00031,Apparel,23.88
736,1,EVENT,2,GGOE00110,Bags,110.01
740,1,EVENT,2,GGOE00254,Electronics Accessories,6.42
741,1,EVENT,2,GGOE00087,Drinkware,14.41
741,2,EVENT,3,GGOE00087,Drinkware,14.41
741,3,EVENT,5,GGOE00087,Drinkware,14.41
744,1,EVENT,2,GGOE00243,Electronics Accessories,18.98
748,1,EVENT,2,GGOE00046,Apparel,16.39
750,1,EVENT,2,GGOE00291,Headgear,27.47
751,1,EVENT,2,GGOE00201,Lifestyle,23.68
752,1,EVENT,2,GGOE00282,Electronics Accessories,34.81
753,1,EVENT,2,GGOE00129,Bags,114.29
754,1,EVENT,2,GGOE00272,Electronics Accessories,18.77
757,1,EVENT,2,GGOE00235,Electronics Accessories,12.02
761,1,EVENT,2,GGOE00240,Electronics Accessories,22.17
762,1,EVENT,2,GGOE00112,Bags,112.68
763,1,EVENT,2,GGOE00036,Apparel,29.74
763,2,EVENT,3,GGOE00036,Apparel,29.74
763,3,EVENT,5,GGOE00036,Apparel,29.74
764,1,EVENT,2,GGOE00099,Bags,116.39
765,1,EVENT,2,GGOE00020,Apparel,22.33
768,1,EVENT,2,GGOE00095,Drinkware,23.78
770,1,EVENT,2,GGOE00268,Electronics Accessories,29.04
774,1,EVENT,2,GGOE00288,Headgear,12.98
775,1,EVENT,2,GGOE00339,Nest,228.94
778,1,EVENT,2,GGOE00202,Lifestyle,55.1
780,1,EVENT,2,GGOE00051,Apparel,40.71
782,1,EVENT,2,GGOE00115,Bags,99.16
783,1,EVENT,2,GGOE00138,Bags,108.62
785,1,EVENT,2,GGOE00121,Bags,97.23
785,2,EVENT,3,GGOE00121,Bags,97.23
791,1,EVENT,2,GGOE00082,Drinkware,18.81
793,1,EVENT,2,GGOE00213,Lifestyle,33.73
795,1,EVENT,2,GGOE00220,Lifestyle,55.04
796,1,EVENT,2,GGOE00291,Headgear,27.47
799,1,EVENT,2,GGOE00175,Office,19.34
803,1,EVENT,2,GGOE00327,Headgear,23.52
805,1,EVENT,2,GGOE00137,Bags,67.33
806,1,EVENT,2,GGOE00131,Bags,47.41
808,1,EVENT,2,GGOE00308,Headgear,18.46
809,1,EVENT,2,GGOE00265,Electronics Accessories,14.31
810,1,EVENT,2,GGOE00010,Apparel,26.55
811,1,EVENT,2,GGOE00096,Drinkware,5.63
812,1,EVENT,2,GGOE00357,Nest,115.47
813,1,EVENT,2,GGOE00211,Lifestyle,59.38
823,1,EVENT,2,GGOE00268,Electronics Accessories,29.04
824,1,EVENT,2,GGOE00067,Drinkware,7.42
829,1,EVENT,2,GGOE00287,Headgear,11.4
831,1,EVENT,2,GGOE00223,Lifestyle,15.89
833,1,EVENT,2,GGOE00293,Headgear,33.36
835,1,EVENT,2,GGOE00009,Apparel,34.46
837,1,EVENT,2,GGOE00031,Apparel,23.88
840,1,EVENT,2,GGOE00297,Headgear,25.31
840,2,EVENT,3,GGOE00297,Headgear,25.31
841,1,EVENT,2,GGOE00304,Headgear,19.33
844,1,EVENT,2,GGOE00147,Office,13.47
845,1,EVENT,2,GGOE00004,Apparel,26.41
846,1,EVENT,2,GGOE00344,Nest,278.08
848,1,EVENT,2,GGOE00293,Headgear,33.36
849,1,EVENT,2,GGOE00001,Apparel,55.07
850,1,EVENT,2,GGOE00185,Lifestyle,9.66
